mes,termino,interes,category
2024-09,sweater,15.0,prenda
2024-10,sweater,19.0,prenda
2024-11,sweater,28.0,prenda
2024-12,sweater,38.0,prenda
2025-01,sweater,19.0,prenda
2025-02,sweater,14.0,prenda
2025-03,sweater,11.0,prenda
2025-04,sweater,9.0,prenda
2025-05,sweater,9.0,prenda
2025-06,sweater,8.0,prenda
2025-07,sweater,9.0,prenda
2025-08,sweater,13.0,prenda
2025-09,sweater,16.0,prenda
2025-10,sweater,21.0,prenda
2025-11,sweater,33.0,prenda
2025-12,sweater,35.0,prenda
2026-01,sweater,20.0,prenda
2020-01,cardigan,7.0,prenda
2020-02,cardigan,6.0,prenda
2020-03,cardigan,5.0,prenda
2020-04,cardigan,5.0,prenda
2020-05,cardigan,6.0,prenda
2020-06,cardigan,6.0,prenda
2020-07,cardigan,9.0,prenda
2020-08,cardigan,9.0,prenda
2020-09,cardigan,10.0,prenda
2020-10,cardigan,10.0,prenda
2020-11,cardigan,10.0,prenda
2020-12,cardigan,10.0,prenda
2021-01,cardigan,9.0,prenda
2021-02,cardigan,8.0,prenda
2021-03,cardigan,8.0,prenda
2021-04,cardigan,8.0,prenda
2021-05,cardigan,8.0,prenda
2021-06,cardigan,7.0,prenda
2021-07,cardigan,7.0,prenda
2021-08,cardigan,9.0,prenda
2021-09,cardigan,10.0,prenda
2021-10,cardigan,10.0,prenda
2021-11,cardigan,11.0,prenda
2021-12,cardigan,10.0,prenda
2022-01,cardigan,9.0,prenda
2022-02,cardigan,8.0,prenda
2022-03,cardigan,8.0,prenda
2022-04,cardigan,9.0,prenda
2022-05,cardigan,8.0,prenda
2022-06,cardigan,7.0,prenda
2022-07,cardigan,7.0,prenda
2022-08,cardigan,7.0,prenda
2022-09,cardigan,9.0,prenda
2022-10,cardigan,10.0,prenda
2022-11,cardigan,11.0,prenda
2022-12,cardigan,11.0,prenda
2023-01,cardigan,9.0,prenda
2023-02,cardigan,8.0,prenda
2023-03,cardigan,8.0,prenda
2023-04,cardigan,8.0,prenda
2023-05,cardigan,8.0,prenda
2023-06,cardigan,7.0,prenda
2023-07,cardigan,8.0,prenda
2023-08,cardigan,9.0,prenda
2023-09,cardigan,10.0,prenda
2023-10,cardigan,12.0,prenda
2023-11,cardigan,12.0,prenda
2023-12,cardigan,12.0,prenda
2024-01,cardigan,10.0,prenda
2024-02,cardigan,10.0,prenda
2024-03,cardigan,10.0,prenda
2024-04,cardigan,9.0,prenda
2024-05,cardigan,8.0,prenda
2024-06,cardigan,8.0,prenda
2024-07,cardigan,8.0,prenda
2024-08,cardigan,10.0,prenda
2024-09,cardigan,13.0,prenda
2024-10,cardigan,13.0,prenda
2024-11,cardigan,15.0,prenda
2024-12,cardigan,15.0,prenda
2025-01,cardigan,12.0,prenda
2025-02,cardigan,11.0,prenda
2025-03,cardigan,11.0,prenda
2025-04,cardigan,11.0,prenda
2025-05,cardigan,10.0,prenda
2025-06,cardigan,9.0,prenda
2025-07,cardigan,9.0,prenda
2025-08,cardigan,12.0,prenda
2025-09,cardigan,15.0,prenda
2025-10,cardigan,16.0,prenda
2025-11,cardigan,17.0,prenda
2025-12,cardigan,15.0,prenda
2026-01,cardigan,12.0,prenda
2020-01,trench coat,2.0,prenda
2020-02,trench coat,2.0,prenda
2020-03,trench coat,1.0,prenda
2020-04,trench coat,1.0,prenda
2020-05,trench coat,1.0,prenda
2020-06,trench coat,1.0,prenda
2020-07,trench coat,1.0,prenda
2020-08,trench coat,1.0,prenda
2020-09,trench coat,2.0,prenda
2020-10,trench coat,2.0,prenda
2020-11,trench coat,2.0,prenda
2020-12,trench coat,2.0,prenda
2021-01,trench coat,1.0,prenda
2021-02,trench coat,1.0,prenda
2021-03,trench coat,1.0,prenda
2021-04,trench coat,1.0,prenda
2021-05,trench coat,1.0,prenda
2021-06,trench coat,1.0,prenda
2021-07,trench coat,1.0,prenda
2021-08,trench coat,1.0,prenda
2021-09,trench coat,2.0,prenda
2021-10,trench coat,2.0,prenda
2021-11,trench coat,3.0,prenda
2021-12,trench coat,2.0,prenda
2022-01,trench coat,2.0,prenda
2022-02,trench coat,2.0,prenda
2022-03,trench coat,2.0,prenda
2022-04,trench coat,2.0,prenda
2022-05,trench coat,1.0,prenda
2022-06,trench coat,1.0,prenda
2022-07,trench coat,1.0,prenda
2022-08,trench coat,1.0,prenda
2022-09,trench coat,2.0,prenda
2022-10,trench coat,3.0,prenda
2022-11,trench coat,2.0,prenda
2022-12,trench coat,2.0,prenda
2023-01,trench coat,2.0,prenda
2023-02,trench coat,2.0,prenda
2023-03,trench coat,2.0,prenda
2023-04,trench coat,2.0,prenda
2023-05,trench coat,2.0,prenda
2023-06,trench coat,1.0,prenda
2023-07,trench coat,1.0,prenda
2023-08,trench coat,2.0,prenda
